Length,Width,Height,Box
0,0,0,0x0x0
,,,
,,,
4,4,2,4x4x2
4,4,4,4x4x4
4,8,3,4x8x3
5,5,5,5x5x5
5,6,2,5x6x2
6,5,2,6x5x2
8,4,3,8x4x3
8,8,3,8x8x3
9,12,1,9x12x1
10,10,10,10x10x10
10,15,3,10x15x3
10,15,7,10x15x7
11,13,2,11x13x2
11,15,3,11x15x3
12,12,12,12x12x12
12,3,3,12x3x3
12,9,1,12x9x1
13,11,2,13x11x2
15,10,3,15x10x3
15,10,7,15x10x7
15,11,3,15x11x3
,,,
,,,
