Length,Width,Height,Box
0,0,0,0x0x0
2.4,2.4,1.2,2.4x2.4x1.2
4,4,4,4x4x4
4,4,2,4x4x2
4,3,2,4x3x2
5,5,5,5x5x5
5,5,4,5x5x4
6,6,6,6x6x6
6,5,2,6x5x2
8,8,3,8x8x3
8,4,3,8x4x3
10,10,10,10x10x10
10,10,8,10x10x8
12,9,1,12x9x1
12,3,3,12x3x3
12,12,12,12x12x12
13,11,2,13x11x2
15,11,3,15x11x3
15,10,7,15x10x7
15,10,3,15x10x3
36,12,10,36x12x10
